x,EVTYPE,Categories
1,   HIGH SURF ADVISORY,HIGH SURF
2, FLASH FLOOD,FLOOD
3, TSTM WIND,THUNDERSTORM
4, TSTM WIND (G45),THUNDERSTORM
5,?,OTHERS
6,AGRICULTURAL FREEZE,COLD
7,APACHE COUNTY,THUNDERSTORM
8,ASTRONOMICAL HIGH TIDE,ASTRONOMICAL HIGH TIDE
9,ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
10,AVALANCE,AVALANCHE
11,AVALANCHE,AVALANCHE
12,Beach Erosion,COASTAL FLOOD
13,BLACK ICE,WINTER WEATHER
14,BLIZZARD,WINTER WEATHER
15,BLIZZARD/WINTER STORM,WINTER WEATHER
16,BLOWING DUST,DUST STORM
17,blowing snow,WINTER WEATHER
18,BLOWING SNOW,WINTER WEATHER
19,BREAKUP FLOODING,FLOOD
20,BRUSH FIRE,WILDFIRE
21,COASTAL  FLOODING/EROSION,COASTAL FLOOD
22,COASTAL EROSION,COASTAL FLOOD
23,Coastal Flood,COASTAL FLOOD
24,COASTAL FLOOD,COASTAL FLOOD
25,Coastal Flooding,COASTAL FLOOD
26,COASTAL FLOODING,COASTAL FLOOD
27,COASTAL FLOODING/EROSION,COASTAL FLOOD
28,Coastal Storm,COASTAL STORM
29,COASTAL STORM,COASTAL STORM
30,COASTAL SURGE,COASTAL FLOOD
31,COASTALSTORM,COASTAL STORM
32,Cold,COLD
33,COLD,COLD
34,COLD AIR TORNADO,COLD
35,COLD AND SNOW,COLD
36,COLD AND WET CONDITIONS,COLD
37,Cold Temperature,COLD
38,COLD WAVE,COLD
39,COLD WEATHER,COLD
40,COLD/WIND CHILL,COLD
41,COLD/WINDS,COLD
42,COOL AND WET,COLD
43,DAM BREAK,FLOOD
44,Damaging Freeze,COLD
45,DAMAGING FREEZE,COLD
46,DENSE FOG,FOG/SMOKE
47,DENSE SMOKE,FOG/SMOKE
48,DOWNBURST,WIND
49,DROUGHT,DROUGHT/HEAT
50,DROUGHT/EXCESSIVE HEAT,DROUGHT/HEAT
51,DROWNING,HIGH SURF
52,DRY MICROBURST,WIND
53,DRY MIRCOBURST WINDS,WIND
54,Dust Devil,DUST STORM
55,DUST DEVIL,DUST STORM
56,DUST DEVIL WATERSPOUT,DUST STORM
57,DUST STORM,DUST STORM
58,DUST STORM/HIGH WINDS,DUST STORM
59,Early Frost,COLD
60,Erosion/Cstl Flood,COASTAL FLOOD
61,EXCESSIVE HEAT,DROUGHT/HEAT
62,EXCESSIVE RAINFALL,RAIN
63,EXCESSIVE SNOW,WINTER WEATHER
64,EXCESSIVE WETNESS,RAIN
65,Extended Cold,COLD
66,Extreme Cold,COLD
67,EXTREME COLD,COLD
68,EXTREME COLD/WIND CHILL,COLD
69,EXTREME HEAT,DROUGHT/HEAT
70,EXTREME WIND CHILL,COLD
71,EXTREME WINDCHILL,COLD
72,FALLING SNOW/ICE,WINTER WEATHER
73,FLASH FLOOD,FLOOD
74,FLASH FLOOD - HEAVY RAIN,FLOOD
75,FLASH FLOOD FROM ICE JAMS,FLOOD
76,FLASH FLOOD LANDSLIDES,FLOOD
77,FLASH FLOOD WINDS,FLOOD
78,FLASH FLOOD/,FLOOD
79,FLASH FLOOD/ STREET,FLOOD
80,FLASH FLOOD/FLOOD,FLOOD
81,FLASH FLOOD/LANDSLIDE,FLOOD
82,FLASH FLOODING,FLOOD
83,FLASH FLOODING/FLOOD,FLOOD
84,FLASH FLOODING/THUNDERSTORM WI,FLOOD
85,FLASH FLOODS,FLOOD
86,FLOOD,FLOOD
87,FLOOD & HEAVY RAIN,FLOOD
88,FLOOD FLASH,FLOOD
89,FLOOD/FLASH,FLOOD
90,FLOOD/FLASH FLOOD,FLOOD
91,FLOOD/FLASH/FLOOD,FLOOD
92,FLOOD/FLASHFLOOD,FLOOD
93,FLOOD/RAIN/WINDS,FLOOD
94,FLOOD/RIVER FLOOD,FLOOD
95,FLOODING,FLOOD
96,FLOODING/HEAVY RAIN,FLOOD
97,FLOODS,FLOOD
98,FOG,FOG/SMOKE
99,FOG AND COLD TEMPERATURES,FOG/SMOKE
100,FOREST FIRES,WILDFIRE
101,Freeze,COLD
102,FREEZE,COLD
103,Freezing drizzle,COLD
104,Freezing Drizzle,COLD
105,FREEZING DRIZZLE,COLD
106,FREEZING FOG,COLD
107,Freezing Rain,COLD
108,FREEZING RAIN,COLD
109,FREEZING RAIN/SLEET,COLD
110,FREEZING RAIN/SNOW,COLD
111,Freezing Spray,COLD
112,FROST,COLD
113,Frost/Freeze,COLD
114,FROST/FREEZE,COLD
115,FROST\FREEZE,COLD
116,FUNNEL CLOUD,TORNADO
117,Glaze,COLD
118,GLAZE,COLD
119,GLAZE ICE,COLD
120,GLAZE/ICE STORM,COLD
121,gradient wind,WIND
122,Gradient wind,WIND
123,GRADIENT WIND,WIND
124,GRASS FIRES,WILDFIRE
125,GROUND BLIZZARD,WINTER WEATHER
126,GUSTNADO,TORNADO
127,GUSTY WIND,WIND
128,GUSTY WIND/HAIL,WIND
129,GUSTY WIND/HVY RAIN,WIND
130,Gusty wind/rain,WIND
131,Gusty winds,WIND
132,Gusty Winds,WIND
133,GUSTY WINDS,WIND
134,HAIL,WINTER WEATHER
135,HAIL 0.75,WINTER WEATHER
136,HAIL 075,WINTER WEATHER
137,HAIL 100,WINTER WEATHER
138,HAIL 125,WINTER WEATHER
139,HAIL 150,WINTER WEATHER
140,HAIL 175,WINTER WEATHER
141,HAIL 200,WINTER WEATHER
142,HAIL 275,WINTER WEATHER
143,HAIL 450,WINTER WEATHER
144,HAIL 75,WINTER WEATHER
145,HAIL DAMAGE,WINTER WEATHER
146,HAIL/WIND,WINTER WEATHER
147,HAIL/WINDS,WINTER WEATHER
148,HAILSTORM,WINTER WEATHER
149,HARD FREEZE,COLD
150,HAZARDOUS SURF,HIGH SURF
151,HEAT,DROUGHT/HEAT
152,Heat Wave,DROUGHT/HEAT
153,HEAT WAVE,DROUGHT/HEAT
154,HEAT WAVE DROUGHT,DROUGHT/HEAT
155,HEAT WAVES,DROUGHT/HEAT
156,HEAVY LAKE SNOW,WINTER WEATHER
157,HEAVY MIX,WINTER WEATHER
158,HEAVY PRECIPITATION,WINTER WEATHER
159,HEAVY RAIN,RAIN
160,HEAVY RAIN AND FLOOD,RAIN
161,Heavy Rain/High Surf,HIGH SURF
162,HEAVY RAIN/LIGHTNING,RAIN
163,HEAVY RAIN/SEVERE WEATHER,RAIN
164,HEAVY RAIN/SMALL STREAM URBAN,RAIN
165,HEAVY RAIN/SNOW,RAIN
166,HEAVY RAINS,RAIN
167,HEAVY RAINS/FLOODING,RAIN
168,HEAVY SEAS,HIGH SURF
169,HEAVY SHOWER,RAIN
170,HEAVY SNOW,WINTER WEATHER
171,HEAVY SNOW-SQUALLS,WINTER WEATHER
172,HEAVY SNOW AND HIGH WINDS,WINTER WEATHER
173,HEAVY SNOW AND STRONG WINDS,WINTER WEATHER
174,Heavy snow shower,WINTER WEATHER
175,HEAVY SNOW SQUALLS,WINTER WEATHER
176,HEAVY SNOW/BLIZZARD,WINTER WEATHER
177,HEAVY SNOW/BLIZZARD/AVALANCHE,WINTER WEATHER
178,HEAVY SNOW/FREEZING RAIN,WINTER WEATHER
179,HEAVY SNOW/HIGH WINDS & FLOOD,WINTER WEATHER
180,HEAVY SNOW/ICE,WINTER WEATHER
181,HEAVY SNOW/SQUALLS,WINTER WEATHER
182,HEAVY SNOW/WIND,WINTER WEATHER
183,HEAVY SNOW/WINTER STORM,WINTER WEATHER
184,HEAVY SNOWPACK,WINTER WEATHER
185,Heavy Surf,HIGH SURF
186,HEAVY SURF,HIGH SURF
187,Heavy surf and wind,HIGH SURF
188,HEAVY SURF COASTAL FLOODING,HIGH SURF
189,HEAVY SURF/HIGH SURF,HIGH SURF
190,HEAVY SWELLS,HIGH SURF
191,HIGH,WIND
192,HIGH  WINDS,WIND
193,HIGH SEAS,HIGH SURF
194,High Surf,HIGH SURF
195,HIGH SURF,HIGH SURF
196,HIGH SWELLS,HIGH SURF
197,HIGH TIDES,HIGH SURF
198,HIGH WATER,HIGH SURF
199,HIGH WAVES,HIGH SURF
200,HIGH WIND,WIND
201,HIGH WIND (G40),WIND
202,HIGH WIND 48,WIND
203,HIGH WIND AND SEAS,WIND
204,HIGH WIND DAMAGE,WIND
205,HIGH WIND/BLIZZARD,WIND
206,HIGH WIND/HEAVY SNOW,WIND
207,HIGH WIND/SEAS,WIND
208,HIGH WINDS,WIND
